phrase,sentiment
The real estate company posted a net loss of +ï¿½  x201a -ï¿½ 59.3 million +ï¿½  x201a -ï¿½ 0.21 per share compared with a net profit of +ï¿½  x201a -ï¿½ 31 million +ï¿½  x201a -ï¿½ 0.11 per share for the corresponding quarter of 2007 ,negative
The EU Commission said earlier it had fined ThyssenKrupp ,negative
Cargo traffic fell 1 % year-on-year to 8,negative
Finnish media group Talentum has issued a profit warning ,negative
Net profit fell by almost half to +ï¿½ 5.5 million from +ï¿½ 9.4 million at the end of 2007 ,negative
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 ,negative
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 ,negative
Production levels have been agreed with producers a long time ago ,negative
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % ,negative
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate ,negative
( ADPnews ) - May 4 ,negative
Operating profit totaled EUR 6.7 mn ,negative
Profit for the period totalled EUR 1.1 mn ,negative
In January-November 2009 ,negative
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million ,negative
Scanfil has also issued a profit warning ,negative
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red ,negative
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 ,negative
Finnish Bank of +ï¿½land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 ,negative
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 ,negative
`` The implementation of these programs has had ,negative
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 ,negative
Finnish Scanfil ,negative
Operating loss before non-recurring items was EUR 0.9 mn ,negative
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 ,negative
`` Small firms are suffering at the moment because they are likely to have money trouble ,negative
YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros ,negative
